claim_id,claim_text,section,also_used_in,evidence_source_ids,pinpoint,confidence,data_type,derivation,time_period,data_lag,limitations,conflicts,steelman_ref,status,verified_by,verified_date,used_in_drafts,notes
C-0001,"The FY2026 Military Construction, Veterans Affairs, and Related Agencies appropriation was enacted on November 12, 2025, as Division D of P.L. 119-37 (H.R. 5371).",3,,S-0004;S-0007,Congress.gov bill record H.R. 5371; CRS IN12622,high,qualitative_finding,,FY2026,none,Bibliographic/structural claim,,,draft,,,,Wave 1 seed
C-0002,"VA's FY2025 appropriations were provided through the Full-Year Continuing Appropriations and Extensions Act, 2025 (Division A of P.L. 119-4), not a regular MilCon-VA act.",3,2,S-0006;S-0007,CRS R48968 (FY2025 vehicle discussion),high,qualitative_finding,,FY2025,none,Structural claim; account detail requires CRS Table 8 (D-0014),,,draft,,,,Wave 1 seed
C-0003,"Cumulative Cost of War Toxic Exposures Fund appropriations FY2022 through FY2026 total $103.459B.",3,,S-0007;S-0018,CRS R48968 Tables 1-6; PACT Act TEF authority,high,quantitative_sum,Sum of FY2022-FY2026 TEF appropriations in CRS R48968,FY2022-FY2026,none,"TEF mandatory/discretionary treatment differs by context; no FY2027 enacted data",,,draft,,,,Wave 1 seed
C-0004,"VA FY2025 financial statements received an unmodified audit opinion while the auditor identified two material weaknesses and three significant deficiencies.",14,,S-0008;S-0026,FY2025 AFR and OIG audit report language,high,qualitative_finding,,FY2025,none,Does not establish chronicity without prior-year series,,,draft,,,,Wave 1 seed
C-0005,"The 2025 National Veteran Suicide Prevention Annual Report reports CY2023 suicide data, creating a roughly two-year reporting lag.",17,,S-0101,Report title/year and CY2023 tables,high,qualitative_finding,,CY2023,~2 years,Does not by itself evaluate current program effectiveness,,,draft,,,,Wave 1 seed
C-0006,"The FY2024 VBA supplemental episode concerned benefits obligations and was publicly explained as a reporting/communication problem rather than a failure to pay benefits.",2,,S-0105;S-0106,VA statements and Congressional hearing record,high,qualitative_finding,,FY2024,none,Does not quantify every root cause; specific internal controls require audit access,,,validated,CAL,2026-07-04,yes,Used in SF-0001
C-0007,"The FY2024 VHA supplemental episode concerned medical-care funding and forecasting under the Fiscal Responsibility Act cap.",2,,S-0105,Hearing record and supplemental request context,high,qualitative_finding,,FY2024,none,Depends on hearing and budget narrative; not an independent forensic audit,,,validated,CAL,2026-07-04,yes,Used in SF-0001
C-0008,"The approximately $5.1B carryover figure remains provenance-labeled and should not be treated as a primary-verified amount in v1.0.",2,,S-0105,Hearing record / draft provenance note,medium,limitation,,FY2024,none,Legacy/draft provenance caveat,,,draft,CAL,2026-07-04,yes,Used as limitation only
C-0009,"FY2026 enacted VA budget authority rose to $445.49B, with growth decomposing primarily through mandatory appropriations rather than discretionary expansion.",3,,S-0007,CRS R48968 Table 7,high,quantitative_finding,Compare FY2025 enacted total to FY2026 enacted total and mandatory/discretionary components,FY2025-FY2026,none,Historical-growth passage quarantined by D-0022,,,validated,CAL,2026-07-04,yes,Used in SF-0002
C-0010,"Toxic Exposures Fund treatment is central to interpreting VA budget growth and must not be blended without basis caveats.",3,,S-0007,CRS R48968 TEF tables and notes,high,methodological_finding,,FY2022-FY2026,none,TEF construction varies across official presentations,,,validated,CAL,2026-07-04,yes,Used in SF-0002
C-0011,"The FY2025 OIG severe occupational staffing shortage determination reported 4,434 severe shortages across VHA facilities.",5,,S-0025,OIG FY2025 staffing shortage report,high,quantitative_finding,,FY2025,none,Agency disputes measure usefulness,,,validated,CAL,2026-07-04,yes,Used in SF-0003
C-0012,"VA publicly rejected the mandated staffing-shortage instrument as subjective and unreliable, creating a measurement-integrity conflict.",5,,S-0025,OIG report / agency response section,high,conflict_finding,,FY2025,none,Press-mediated public quote remains separately limited,,,validated,CAL,2026-07-04,yes,Used in SF-0003
C-0013,"VA's 2025 suicide report indicates that 61% of veteran suicide decedents had no VHA health care in the prior year.",17,,S-0101,2025 National Veteran Suicide Prevention Annual Report,high,statistical_finding,,CY2023,~2 years,Does not measure non-VHA interventions or broader determinants,,,validated,CAL,2026-07-04,yes,Used in SF-0004
C-0014,"Spending-to-outcome claims for veteran suicide prevention must partition VHA users and non-users because VHA reach is structurally incomplete.",17,,S-0101,Derived from VHA-user status tables,high,analytical_finding,Analytical boundary from C-0013,CY2023,~2 years,Does not negate value of VHA-based interventions for users,,,validated,CAL,2026-07-04,yes,Used in SF-0004
C-0015,"GAO's December 2025 EHRM testimony reported unresolved recommendations and cost-estimate concerns while deployments were accelerating.",12,,S-0103,GAO December 2025 testimony,high,qualitative_finding,,2025-12,dated,Requires current-status check after publication,,,validated,CAL,2026-07-04,yes,Used in SF-0005
C-0016,"EHR modernization findings in v1.0 are dated and currency-sensitive, including withhold deadlines and recommendation status.",12,,S-0103,GAO recommendation and schedule status,high,limitation,,2025-12,dated,May be superseded by post-publication records,,,validated,CAL,2026-07-04,yes,Used in SF-0005
C-0017,"Community-care appointment-timeliness standards and measurement limitations remain material to oversight conclusions.",8,,S-0111,GAO community-care report,high,oversight_finding,,dated,dated,Full body not yet deconstructed,,,validated,CAL,2026-07-04,yes,Used in SF-0006
C-0018,"Community Care Network oversight includes unresolved network-adequacy and claims-data concerns.",8,,S-0112;S-0116,GAO oversight reports,high,oversight_finding,,dated,dated,Full bodies not yet deconstructed,,,validated,CAL,2026-07-04,yes,Used in SF-0006
C-0019,"Community-care growth cannot be interpreted without separating access expansion from measurement adequacy.",8,,S-0105,Analytical synthesis from oversight and funding records,medium,analytical_finding,,FY2024-FY2026,dated,Requires full section construction in v1.1,,,validated,CAL,2026-07-04,yes,Used in SF-0006
C-0020,"VA's FY2025 clean audit opinion must be read alongside the named material weaknesses and significant deficiencies.",14,,S-0008;S-0026,FY2025 AFR and OIG audit report,high,analytical_finding,,FY2025,none,Does not resolve chronicity without prior-year series,,,validated,CAL,2026-07-04,yes,Used in SF-0007
C-0021,"The suicide-report findings are bounded by reporting lag and population reach limitations.",17,,S-0101,2025 suicide report,high,limitation,,CY2023,~2 years,May be updated by Dole Act report or later VA release,,,validated,CAL,2026-07-04,yes,Used as limitation
